"Reference_name"	"Reference_bnumber"	"Reference_symbol"	"RegulonDB_tf_id"	"RegulonDB_tf_name"	"RegulonDB_tf_symmetry"	"RegulonDB_tf_family"	"RegulonDB_tf_class"	"RegulonDB_tf_conformation_id"	"RegulonDB_tf_conformation_final_state"	"RegulonDB_tf_conformation_type"	"RegulonDB_tf_interaction_type"	"RegulonDB_tf_apo_holo"	"Uniprot_ID"	"Pfam_ID"	"Refseq_ID"	"product_synonyms.x"	"RegulonDB_product_name"	"Ecocyc_id"	"gene_synonyms"	"product_synonyms.y"	"RegulonDB_TF"	"Zika_TF"	"Annotated_TF"	"Predicted_TF_2015"	"Predicted_TF_2020"	"Predicted_TF_2021"	"product_synonyms"	"TF_synonyms"
"FlhDC"	"b1891,b1892"	"flhC,flhD"	"ECK125257194"	"FlhDC"	"asymmetric"	""	"Local Regulator"	"ECK125269253"	"FlhDC"	"Active"	""	""	""	""	""	"b1891,ECK120016215,FlaI,FlhC,b1892,ECK120004790,FlbB,FlhD"	"DNA-binding transcriptional dual regulator FlhC,DNA-binding transcriptional dual regulator FlhD"	"EG10319,EG10320"	"b1891,ECK120000313,ECK1892,EG10319,flaI,flhC,b1892,ECK120000314,ECK1893,EG10320,flbB,flhD"	"b1891,ECK120016215,FlaI,FlhC,b1892,ECK120004790,FlbB,FlhD"	1	1	1	1	1	1	NA	"b1891,b1892,DNA-binding transcriptional dual regulator FlhC,DNA-binding transcriptional dual regulator FlhD,ECK120000313,ECK120000314,ECK1892,ECK1893,EG10319,EG10320,flaI,flbB,flhC,FlhC,flhD,FlhDC"
"fliA"	"b1922"	"fliA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"RNA polymerase, sigma 28 (sigma F) factor"	"EG11355"	"b1922,ECK120001324,ECK1921,EG11355,flaD,fliA,rpoF"	NA	0	0	0	0	0	1	"&sigma;<sup>28</sup>,b1922,ECK120005800,FlaD,FliA,RpoF,sigma 28 factor,sigma F factor"	" sigma 28 (sigma F) factor,&sigma;<sup>28</sup>,b1922,ECK120001324,ECK120005800,ECK1921,EG11355,flaD,FlaD,fliA,FliA,RNA polymerase,rpoF,RpoF,sigma 28 factor,sigma F factor"
"FliZ"	"b1921"	"fliZ"	"ECK125141939"	"FliZ"	"inverted-repeat"	""	"Local Regulator"	"ECK125269301"	"FliZ"	"Active"	""	""	"P52627"	"PF02899"	"NP_416431"	"b1921,ECK120005801,FliZ,YedH"	"DNA-binding transcriptional regulator FliZ"	"EG11356"	"b1921,ECK120001325,ECK1920,EG11356,fliZ,yedH"	"b1921,ECK120005801,FliZ,YedH"	1	1	1	0	1	1	NA	"b1921,DNA-binding transcriptional regulator FliZ,ECK120001325,ECK1920,EG11356,fliZ,FliZ,NP_416431,P52627,yedH"
"FNR"	"b1334"	"fnr"	"ECK120011229"	"FNR"	"inverted-repeat"	"CRP"	"Global Regulator"	"ECK125147365,ECK125147367,ECK125269260"	"FNR,FNR-[2Fe-2S]<sup>2+</sup> oxidized,FNR-[4Fe-4S]<sup>2+</sup> reduced"	"Active,Inactive"	"Covalent"	"Apo,Holo"	"P0A9E5"	"PF00027,PF00325"	"NP_415850"	"b1334,ECK120004795,Fnr,NirA,NirR,OssA,OxrA"	"DNA-binding transcriptional dual regulator FNR"	"EG10325"	"b1334,ECK120000319,ECK1330,EG10325,fnr,nirA,nirR,ossA,oxrA"	"b1334,ECK120004795,Fnr,NirA,NirR,OssA,OxrA"	1	1	1	1	1	1	NA	"b1334,DNA-binding transcriptional dual regulator FNR,ECK120000319,ECK1330,EG10325,fnr,Fnr,FNR,FNR-[2Fe-2S]<sup>2+</sup> oxidized,FNR-[4Fe-4S]<sup>2+</sup> reduced,nirA,nirR,NP_415850,ossA,oxrA,P0A9E5"
"FrlR"	"b3375"	"frlR"	"ECK125302601"	"FrlR"	""	""	"Local Regulator"	"ECK125302605,ECK125302606"	"FlrR,FrlR-N<sup>6</sup>-(6-phospho-D-fructosyl)-L-lysine"	"Active,Inactive"	""	""	"P45544"	"PF00392,PF07702"	"NP_417834"	"b3375,ECK120008712,FrlR,YhfR"	"DNA-binding transcriptional regulator FrlR"	"G7727"	"b3375,ECK120004270,ECK3362,frlR,G7727,yhfR"	"b3375,ECK120008712,FrlR,YhfR"	1	1	1	1	0	1	NA	"b3375,DNA-binding transcriptional regulator FrlR,ECK120004270,ECK3362,FlrR,frlR,FrlR,FrlR-N<sup>6</sup>-(6-phospho-D-fructosyl)-L-lysine,G7727,NP_417834,P45544,yhfR"
"FrmR"	"b0357"	"frmR"	"ECK125257185"	"FrmR"	""	""	"Local Regulator"	"ECK125269445,ECK125272662"	"FrmR,FrmR-formaldehyde"	"Active,Inactive"	""	"Apo,Holo"	"P0AAP3"	"PF02583"	"NP_414891"	"b0357,ECK120007295,FrmR,YaiN"	"DNA-binding transcriptional repressor FrmR"	"G6209"	"b0357,ECK0354,ECK120002823,frmR,G6209,yaiN"	"b0357,ECK120007295,FrmR,YaiN"	1	1	1	0	0	1	NA	"b0357,DNA-binding transcriptional repressor FrmR,ECK0354,ECK120002823,frmR,FrmR,FrmR-formaldehyde,G6209,NP_414891,P0AAP3,yaiN"
"frvR"	"b3897"	"frvR"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"putative transcriptional regulator FrvR"	"EG11861"	"b3897,ECK120001792,ECK3890,EG11861,frvR,yiiH"	NA	0	1	1	1	0	1	"b3897,ECK120006268,FrvR,YiiH"	"b3897,ECK120001792,ECK120006268,ECK3890,EG11861,frvR,FrvR,putative transcriptional regulator FrvR,yiiH,YiiH"
"FucR"	"b2805"	"fucR"	"ECK120013118"	"FucR"	""	"DeoR"	"Local Regulator"	"ECK125147201,ECK125269426"	"FucR,FucR-L-fuculose-1-P"	"Active,Inactive"	"Allosteric"	"Apo,Holo"	"P0ACK8"	"PF00455,PF08220"	"NP_417285"	"b2805,ECK120004823,FucR"	"DNA-binding transcriptional activator FucR"	"EG10353"	"b2805,ECK120000347,ECK2800,EG10353,fucR"	"b2805,ECK120004823,FucR"	1	1	1	1	1	1	NA	"b2805,DNA-binding transcriptional activator FucR,ECK120000347,ECK2800,EG10353,fucR,FucR,FucR-L-fuculose-1-P,NP_417285,P0ACK8"
"fumE"	"b2929"	"fumE"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"fumarase E"	"EG11162"	"b2929,ECK120001145,ECK2925,EG11162,fumE,yggD"	NA	0	0	1	1	0	0	"b2929,ECK120005621,FumE,predicted DNA-binding transcriptional regulator,YggD"	"b2929,ECK120001145,ECK120005621,ECK2925,EG11162,fumarase E,fumE,FumE,predicted DNA-binding transcriptional regulator,yggD,YggD"
"Fur"	"b0683"	"fur"	"ECK125285350"	"Fur"	"inverted-repeat"	""	"Local Regulator"	"ECK125146681,ECK125269238,ECK125288995"	"Fur,Fur-Fe<SUP>2+</SUP>,Fur-Mn<SUP>2+</SUP>"	"Active,Inactive"	"Allosteric"	"Apo,Holo"	"P0A9A9"	"PF01475"	"NP_415209"	"b0683,ECK120004828,Fur"	"DNA-binding transcriptional dual regulator Fur"	"EG10359"	"b0683,ECK0671,ECK120000352,EG10359,fur"	"b0683,ECK120004828,Fur"	1	1	1	1	1	1	NA	"b0683,DNA-binding transcriptional dual regulator Fur,ECK0671,ECK120000352,EG10359,fur,Fur,Fur-Fe<SUP>2+</SUP>,Fur-Mn<SUP>2+</SUP>,NP_415209,P0A9A9"
"GadE"	"b3512"	"gadE"	"ECK120012092"	"GadE"	"asymmetric"	"LuxR/UhpA"	"Local Regulator"	"ECK125269352"	"GadE"	"Active"	""	""	"P63204"	"PF00196"	"NP_417969"	"acid-responsive regulator of gadA and gadBC,b3512,ECK120005974,GadE,YhiE,YhiT"	"DNA-binding transcriptional activator GadE"	"EG11544"	"b3512,ECK120001498,ECK3496,EG11544,gadE,yhiE,yhiT"	"acid-responsive regulator of gadA and gadBC,b3512,ECK120005974,GadE,YhiE,YhiT"	1	1	1	1	1	1	NA	"b3512,DNA-binding transcriptional activator GadE,ECK120001498,ECK3496,EG11544,gadE,GadE,NP_417969,P63204,yhiE,yhiT"
"GadE-RcsB"	"b2217,b3512"	"rcsB,gadE"	"ECK125257204"	"GadE-RcsB"	"asymmetric"	""	"Local Regulator"	"ECK125269375"	"GadE-RcsB"	"Active"	""	""	""	""	""	"b2217,ECK120005288,RcsB,RcsB response regulator,acid-responsive regulator of gadA and gadBC,b3512,ECK120005974,GadE,YhiE,YhiT"	"DNA-binding transcriptional activator RcsB,DNA-binding transcriptional activator GadE"	"EG10821,EG11544"	"b2217,ECK120000812,ECK2210,EG10821,rcsB,b3512,ECK120001498,ECK3496,EG11544,gadE,yhiE,yhiT"	"b2217,ECK120005288,RcsB,RcsB response regulator,acid-responsive regulator of gadA and gadBC,b3512,ECK120005974,GadE,YhiE,YhiT"	1	1	1	1	1	1	NA	"b2217,b3512,DNA-binding transcriptional activator GadE,DNA-binding transcriptional activator RcsB,ECK120000812,ECK120001498,ECK2210,ECK3496,EG10821,EG11544,gadE,GadE-RcsB,rcsB,RcsB,yhiE,yhiT"
"GadW"	"b3515"	"gadW"	"ECK120011465"	"GadW"	"asymmetric"	"AraC/XylS"	"Local Regulator"	"ECK125269277"	"GadW"	"Active"	""	""	"P63201"	"PF12833"	"NP_417972"	"b3515,ECK120006601,GadW,YhiW"	"DNA-binding transcriptional dual regulator GadW"	"EG12242"	"b3515,ECK120002125,ECK3499,EG12242,gadW,yhiW"	"b3515,ECK120006601,GadW,YhiW"	1	1	1	1	1	1	NA	"b3515,DNA-binding transcriptional dual regulator GadW,ECK120002125,ECK3499,EG12242,gadW,GadW,NP_417972,P63201,yhiW"
"GadX"	"b3516"	"gadX"	"ECK120011458"	"GadX"	"asymmetric"	"AraC/XylS"	"Local Regulator"	"ECK125269250"	"GadX"	"Active"	""	""	"P37639"	"PF12833"	"NP_417973"	"b3516,ECK120006602,GadX,YhiX"	"DNA-binding transcriptional dual regulator GadX"	"EG12243"	"b3516,ECK120002126,ECK3501,EG12243,gadX,yhiX"	"b3516,ECK120006602,GadX,YhiX"	1	1	1	1	1	1	NA	"b3516,DNA-binding transcriptional dual regulator GadX,ECK120002126,ECK3501,EG12243,gadX,GadX,NP_417973,P37639,yhiX"
"GalR"	"b2837"	"galR"	"ECK120012713"	"GalR"	"inverted-repeat"	"GalR/LacI"	"Local Regulator"	"ECK125269233,ECK125269306"	"GalR,GalR-D-galactose"	"Active"	"Allosteric"	"Apo,Holo"	"P03024"	"PF00356,PF13377"	"NP_417314"	"b2837,ECK120004833,GalR"	"DNA-binding transcriptional dual regulator GalR"	"EG10364"	"b2837,ECK120000357,ECK2835,EG10364,galR,Rgal"	"b2837,ECK120004833,GalR"	1	1	1	1	1	1	NA	"b2837,DNA-binding transcriptional dual regulator GalR,ECK120000357,ECK2835,EG10364,galR,GalR,GalR-D-galactose,NP_417314,P03024,Rgal"
"GalS"	"b2151"	"galS"	"ECK120012704"	"GalS"	"inverted-repeat"	"GalR/LacI"	"Local Regulator"	"ECK125269323,ECK125269344"	"GalS,GalS-D-galactose"	"Active"	"Allosteric"	"Apo,Holo"	"P25748"	"PF00356,PF13377"	"NP_416656"	"b2151,ECK120004834,GalS,MglD"	"DNA-binding transcriptional dual regulator GalS"	"EG10365"	"b2151,ECK120000358,ECK2144,EG10365,galS,mglD"	"b2151,ECK120004834,GalS,MglD"	1	1	1	1	1	1	NA	"b2151,DNA-binding transcriptional dual regulator GalS,ECK120000358,ECK2144,EG10365,galS,GalS,GalS-D-galactose,mglD,NP_416656,P25748"
"GatR"	"b4498"	"gatR"	"ECK120013131"	"GatR"	"inverted-repeat"	""	"Local Regulator"	"ECK125285362"	"GatR"	"Active"	""	""	"P36930"	"PF08220"	""	"b4498,ECK120006534"	"DNA-binding transcriptional repressor GatR, N-terminal fragment"	"EG12162"	"b2087,b2090,b4498,ECK120002058,ECK2083,EG12162,gatR"	"b4498,ECK120006534"	1	1	1	0	1	0	NA	" N-terminal fragment,b2087,b2090,b4498,DNA-binding transcriptional repressor GatR,ECK120002058,ECK2083,EG12162,gatR,GatR,GatR-2,P36930"
"GcvA"	"b2808"	"gcvA"	"ECK120012465"	"GcvA"	"inverted-repeat"	"LysR"	"Local Regulator"	"ECK125147205,ECK125269357,ECK125272683"	"GcvA,GcvA-glycine,GcvA-Purine"	"Active,Inactive"	"Allosteric"	"Apo,Holo"	"P0A9F6"	"PF00126,PF03466"	"NP_417288"	"b2808,ECK120006205,GcvA,positive regulator of gcv operon"	"DNA-binding transcriptional dual regulator GcvA"	"EG11795"	"b2808,ECK120001729,ECK2803,EG11795,gcvA"	"b2808,ECK120006205,GcvA,positive regulator of gcv operon"	1	1	1	1	1	1	NA	"b2808,DNA-binding transcriptional dual regulator GcvA,ECK120001729,ECK2803,EG11795,gcvA,GcvA,GcvA-glycine,GcvA-Purine,NP_417288,P0A9F6"
"gcvR"	"b2479"	"gcvR"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"putative transcriptional regulator GcvR"	"EG11149"	"b2479,ECK120001132,ECK2475,EG11149,gcvR,yffD"	NA	0	1	1	0	0	0	"b2479,ECK120005608,GcvR,YffD"	"b2479,ECK120001132,ECK120005608,ECK2475,EG11149,gcvR,GcvR,putative transcriptional regulator GcvR,yffD,YffD"
"GlaR"	"b2664"	"glaR"	"ECK120012075"	"GlaR"	"inverted-repeat"	"GntR"	"Local Regulator"	"ECK125269430,ECK125285360"	"GlaR,GlaR-glutarate"	"Active,Inactive"	""	"Apo,Holo"	"P37338"	"PF00392,PF07729"	"NP_417150"	"b2664,CsiR,ECK120006726,GabC,GlaR,YgaE"	"DNA-binding transcriptional repressor GlaR"	"EG12386"	"b2664,csiR,ECK120002251,ECK2658,EG12386,gabC,glaR,ygaE"	"b2664,CsiR,ECK120006726,GabC,GlaR,YgaE"	1	1	1	1	0	1	NA	"b2664,csiR,DNA-binding transcriptional repressor GlaR,ECK120002251,ECK2658,EG12386,gabC,glaR,GlaR,GlaR-glutarate,NP_417150,P37338,ygaE"
"GlcC"	"b2980"	"glcC"	"ECK120011437"	"GlcC"	"inverted-repeat"	"GntR"	"Local Regulator"	"ECK125147206,ECK125147207,ECK125269302"	"GlcC,GlcC-Acetate,GlcC-glycolate"	"Active,Inactive"	"Allosteric"	"Apo,Holo"	"P0ACL5"	"PF00392,PF07729"	"NP_417454"	"b2980,ECK120008552,GlcC,YghN"	"DNA-binding transcriptional dual regulator GlcC"	"G7546"	"b2980,ECK120004106,ECK2975,G7546,glcC,yghN"	"b2980,ECK120008552,GlcC,YghN"	1	1	1	1	1	1	NA	"b2980,DNA-binding transcriptional dual regulator GlcC,ECK120004106,ECK2975,G7546,glcC,GlcC,GlcC-Acetate,GlcC-glycolate,NP_417454,P0ACL5,yghN"
"gloC"	"b0927"	"gloC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"hydroxyacylglutathione hydrolase GloC"	"G6475"	"b0927,ECK0918,ECK120003075,G6475,gloC,ycbL"	NA	0	0	0	1	0	0	"b0927,ECK120007536,GloC,GlxII-2,glyoxalase II,YcbL"	"b0927,ECK0918,ECK120003075,ECK120007536,G6475,gloC,GloC,GlxII-2,glyoxalase II,hydroxyacylglutathione hydrolase GloC,ycbL,YcbL"
"GlpR"	"b3423"	"glpR"	"ECK120012730"	"GlpR"	"inverted-repeat"	"DeoR"	"Local Regulator"	"ECK125272648,ECK125272649,ECK125285363"	"GlpR,GlpR-<i>sn</i>-glycerol 3-phosphate,GlpR-glycerol"	"Active,Inactive"	"Allosteric"	"Apo,Holo"	"P0ACL0"	"PF00455,PF08220"	"NP_417881"	"b3423,ECK120004869"	"DNA-binding transcriptional repressor GlpR"	"EG10400"	"b3423,ECK120000393,ECK3409,EG10400,glpR"	"b3423,ECK120004869"	1	1	1	1	1	0	NA	"b3423,DNA-binding transcriptional repressor GlpR,ECK120000393,ECK3409,EG10400,glpR,GlpR,GlpR-<i>sn</i>-glycerol 3-phosphate,GlpR-glycerol,NP_417881,P0ACL0"
"GlrR"	"b2554"	"glrR"	"ECK125108627"	"GlrR"	""	"EBP"	"Local Regulator"	"ECK125147208,ECK125269317"	"GlrR,GlrR-phosphorylated"	"Active,Inactive"	"Covalent"	"Apo,Holo"	"P0AFU4"	"PF00072,PF00158"	"NP_417049"	"b2554,ECK120005734,GlrR,GlrR response regulator,QseF,YfhA"	"DNA-binding transcriptional activator GlrR"	"EG11285"	"b2554,ECK120001258,ECK2551,EG11285,glrR,qseF,yfhA"	"b2554,ECK120005734,GlrR,GlrR response regulator,QseF,YfhA"	1	1	1	1	1	1	NA	"b2554,DNA-binding transcriptional activator GlrR,ECK120001258,ECK2551,EG11285,glrR,GlrR,GlrR-phosphorylated,NP_417049,P0AFU4,qseF,yfhA"
"gnsB"	"b1550"	"gnsB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Qin prophage; protein GnsB"	"G6823"	"b1550,ECK120003412,ECK1544,G6823,gnsB,ydfY"	NA	0	0	0	0	0	1	"b1550,ECK120007868,GnsB,YdfY"	"b1550,ECK120003412,ECK120007868,ECK1544,G6823,gnsB,GnsB,Qin prophage; protein GnsB,ydfY,YdfY"
"GntR"	"b3438"	"gntR"	"ECK120012096"	"GntR"	"inverted-repeat"	"GalR/LacI"	"Local Regulator"	"ECK125269379,ECK125272644"	"GntR,GntR-D-gluconate"	"Active,Inactive"	"Allosteric"	"Apo,Holo"	"P0ACP5"	"PF00356,PF00532"	"YP_026222"	"b3438,ECK120006817,GntR"	"DNA-binding transcriptional repressor GntR"	"EG12630"	"b3438,ECK120002342,ECK3423,EG12630,gntR"	"b3438,ECK120006817,GntR"	1	1	1	1	1	1	NA	"b3438,DNA-binding transcriptional repressor GntR,ECK120002342,ECK3423,EG12630,gntR,GntR,GntR-D-gluconate,P0ACP5,YP_026222"
"GutM"	"b2706"	"gutM"	"ECK120013141"	"GutM"	"inverted-repeat"	"GutM"	"Local Regulator"	"ECK125269466"	"GutM"	"Active"	""	""	"P15081"	"PF06923"	"NP_417186"	"b2706,ECK120005437,Gut,GutM,SrlM"	"DNA-binding transcriptional activator GutM"	"EG10972"	"b2706,ECK120000961,ECK2701,EG10972,gut,gutM,srlM"	"b2706,ECK120005437,Gut,GutM,SrlM"	1	1	1	1	1	1	NA	"b2706,DNA-binding transcriptional activator GutM,ECK120000961,ECK2701,EG10972,gut,gutM,GutM,NP_417186,P15081,srlM"
"gyrA"	"b2231"	"gyrA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"DNA gyrase subunit A"	"EG10423"	"b2231,ECK120000416,ECK2223,EG10423,gyrA,hisW,nalA,nfxA,norA,parD"	NA	0	0	0	0	0	1	"b2231,ECK120004892,GyrA,HisW,NalA,NfxA,NorA,ParD"	"b2231,DNA gyrase subunit A,ECK120000416,ECK120004892,ECK2223,EG10423,gyrA,GyrA,hisW,HisW,nalA,NalA,nfxA,NfxA,norA,NorA,parD,ParD"
"H-NS"	"b1237"	"hns"	"ECK120011294"	"H-NS"	"inverted-repeat"	"HNS"	"Global Regulator"	"ECK125269263"	"H-NS"	"Active"	""	""	"P0ACF8"	"PF00816"	"NP_415753"	" BH2, HD, NS),b1237,BglY,Cur,DNA-binding protein HLP-II (HU,Drc,DrdX,Drs,ECK120004926,FimG,H-NS,Hns,HnsA,Irk,MsyA,OsmZ,PilG,TopS,TopX,VirR"	"DNA-binding transcriptional dual regulator H-NS"	"EG10457"	"B1,b1237,bglY,cur,drc,drdX,drs,ECK120000450,ECK1232,EG10457,fimG,H1,hns,hnsA,irk,msyA,osmZ,pilG,topS,topX,virR"	" BH2, HD, NS),b1237,BglY,Cur,DNA-binding protein HLP-II (HU,Drc,DrdX,Drs,ECK120004926,FimG,H-NS,Hns,HnsA,Irk,MsyA,OsmZ,PilG,TopS,TopX,VirR"	1	1	1	1	1	1	NA	"B1,b1237,bglY,cur,DNA-binding transcriptional dual regulator H-NS,drc,drdX,drs,ECK120000450,ECK1232,EG10457,fimG,H-NS,H1,hns,Hns,hnsA,irk,msyA,NP_415753,osmZ,P0ACF8,pilG,topS,topX,virR"
"HcaR"	"b2537"	"hcaR"	"ECK120015243"	"HcaR"	"inverted-repeat"	"LysR"	"Local Regulator"	"ECK125269423,ECK125269429"	"HcaR,HcaR-3-phenylpropanoate"	"Active"	""	"Apo,Holo"	"Q47141"	"PF00126,PF03466"	"NP_417032"	"b2537,ECK120008351,HcaR,PhdR,YfhT"	"DNA-binding transcriptional dual regulator HcaR"	"G7331"	"b2537,ECK120003903,ECK2534,G7331,hcaR,phdR,yfhT"	"b2537,ECK120008351,HcaR,PhdR,YfhT"	1	1	1	1	1	1	NA	"b2537,DNA-binding transcriptional dual regulator HcaR,ECK120003903,ECK2534,G7331,hcaR,HcaR,HcaR-3-phenylpropanoate,NP_417032,phdR,Q47141,yfhT"
"HdfR"	"b4480"	"hdfR"	"ECK120012250"	"HdfR"	"inverted-repeat"	"LysR"	"Local Regulator"	"ECK125269288"	"HdfR"	"Active"	""	""	"P0A8R9"	"PF00126,PF03466"	"YP_026246"	"b4480,ECK120005888,HdfR,YifA,YifD"	"DNA-binding transcriptional dual regulator HdfR"	"EG11449"	"b3762,b3763,b4480,ECK120001412,ECK3756,EG11449,hdfR,yifA,yifD"	"b4480,ECK120005888,HdfR,YifA,YifD"	1	1	1	1	1	1	NA	"b3762,b3763,b4480,DNA-binding transcriptional dual regulator HdfR,ECK120001412,ECK3756,EG11449,hdfR,HdfR,P0A8R9,yifA,yifD,YP_026246"
"hfq"	"b4172"	"hfq"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"RNA-binding protein Hfq"	"EG10438"	"b4172,ECK120000431,ECK4168,EG10438,hfq"	NA	0	0	0	0	0	0	"b4172,ECK120004907,HF-I,Hfq,host factor I"	"b4172,ECK120000431,ECK120004907,ECK4168,EG10438,HF-I,hfq,Hfq,host factor I,RNA-binding protein Hfq"
"hha"	"b0460"	"hha"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"haemolysin expression-modulating protein Hha"	"EG10439"	"b0460,ECK0454,ECK120000432,EG10439,hha"	NA	0	1	0	1	0	0	"b0460,ECK120004908,Hha"	"b0460,ECK0454,ECK120000432,ECK120004908,EG10439,haemolysin expression-modulating protein Hha,hha,Hha"
"HicB"	"b1438"	"hicB"	"ECK125286590"	"HicB"	"inverted-repeat"	"HTH_3"	"Local Regulator"	"ECK125286597"	"HicB"	"Active"	""	""	"P67697"	"PF01381,PF15919"	"NP_415955"	"b1438,ECK120007794,HicB,YdcQ"	"antitoxin of the HicA-HicB toxin-antitoxin system /  DNA-binding transcriptional repressor HicB"	"G6749"	"b1438,ECK120003338,ECK1432,G6749,hicB,ydcQ"	"b1438,ECK120007794,HicB,YdcQ"	1	1	1	1	0	0	NA	"antitoxin of the HicA-HicB toxin-antitoxin system /  DNA-binding transcriptional repressor HicB,b1438,ECK120003338,ECK1432,G6749,hicB,HicB,NP_415955,P67697,ydcQ"
"HigA"	"b3082"	"higA"	"ECK125242732"	"HigA"	""	"SinR"	"Local Regulator"	"ECK125269349"	"HigA"	"Active"	""	""	"P67701"	"PF01381"	"NP_417553"	"b3082,ECK120008597,HigA,HigA antitoxin of the HigB-HigA toxin-antitoxin system,YgjM"	"antitoxin/DNA-binding transcriptional repressor HigA"	"G7601"	"b3082,ECK120004154,ECK3072,G7601,higA,ygjM"	"b3082,ECK120008597,HigA,HigA antitoxin of the HigB-HigA toxin-antitoxin system,YgjM"	1	1	1	1	1	1	NA	"antitoxin/DNA-binding transcriptional repressor HigA,b3082,ECK120004154,ECK3072,G7601,higA,HigA,NP_417553,P67701,ygjM"
"HigB-HigA"	"b3082,b3083"	"higA,higB"	"ECK125257189"	"HigB-HigA"	"inverted-repeat"	""	"Local Regulator"	"ECK125269450"	"HigB-HigA"	"Active"	""	""	""	""	""	"b3082,ECK120008597,HigA,HigA antitoxin of the HigB-HigA toxin-antitoxin system,YgjM, toxin of the HigB-HigA toxin-antitoxin system,b3083,ECK120008598,HigB,translation-dependent mRNA interferase,YgjN"	"antitoxin/DNA-binding transcriptional repressor HigA,ribosome-dependent mRNA interferase toxin HigB"	"G7601,G7602"	"b3082,ECK120004154,ECK3072,G7601,higA,ygjM,b3083,ECK120004155,ECK3073,G7602,higB,ygjN"	"b3082,ECK120008597,HigA,HigA antitoxin of the HigB-HigA toxin-antitoxin system,YgjM, toxin of the HigB-HigA toxin-antitoxin system,b3083,ECK120008598,HigB,translation-dependent mRNA interferase,YgjN"	1	1	1	1	1	1	NA	"antitoxin/DNA-binding transcriptional repressor HigA,b3082,b3083,ECK120004154,ECK120004155,ECK3072,ECK3073,G7601,G7602,higA,HigA,higB,HigB-HigA,ribosome-dependent mRNA interferase toxin HigB,ygjM,ygjN"
"HipAB"	"b1507,b1508"	"hipA,hipB"	"ECK125257201"	"HipAB"	"inverted-repeat"	""	"Local Regulator"	"ECK125269361"	"HipAB"	"Active"	""	""	""	""	""	"b1507,ECK120004912,HipA,b1508,ECK120004911,HipB"	"serine/threonine-protein kinase toxin HipA,antitoxin/DNA-binding transcriptional repressor HipB"	"EG10443,EG10442"	"b1507,ECK120000436,ECK1500,EG10443,hipA,b1508,ECK120000435,ECK1501,EG10442,hipB"	"b1507,ECK120004912,HipA,b1508,ECK120004911,HipB"	1	1	1	1	1	1	NA	"antitoxin/DNA-binding transcriptional repressor HipB,b1507,b1508,ECK120000435,ECK120000436,ECK1500,ECK1501,EG10442,EG10443,hipA,HipA,HipAB,hipB,serine/threonine-protein kinase toxin HipA"
"HipB"	"b1508"	"hipB"	"ECK120026325"	"HipB"	"inverted-repeat"	"HTH_3"	"Local Regulator"	"ECK125269368"	"HipB"	"Active"	""	""	"P23873"	"PF01381"	"NP_416025"	"b1508,ECK120004911,HipB"	"antitoxin/DNA-binding transcriptional repressor HipB"	"EG10442"	"b1508,ECK120000435,ECK1501,EG10442,hipB"	"b1508,ECK120004911,HipB"	1	1	1	1	1	1	NA	"antitoxin/DNA-binding transcriptional repressor HipB,b1508,ECK120000435,ECK1501,EG10442,hipB,HipB,NP_416025,P23873"
"HprR"	"b1969"	"hprR"	"ECK125228798"	"HprR"	""	"OmpR"	"Local Regulator"	"ECK125269410,ECK12T299423"	"HprR,HprR-phosphorylated"	"Active,Inactive"	""	"Apo,Holo"	"P76340"	"PF00072,PF00486"	"NP_416478"	"b1969,ECK120008097,HprR,YedW"	"DNA-binding transcriptional dual regulator HprR"	"G7057"	"b1969,ECK120003643,ECK1965,G7057,hprR,yedW"	"b1969,ECK120008097,HprR,YedW"	1	1	1	1	0	1	NA	"b1969,DNA-binding transcriptional dual regulator HprR,ECK120003643,ECK1965,G7057,hprR,HprR,HprR-phosphorylated,NP_416478,P76340,yedW"
